full_name,stargazers_count,html_url,forks_count,language,description
GtxFury/FlyClash-Android,60,https://github.com/GtxFury/FlyClash-Android,0,,FlyClash客户端安卓版本
StargazerX0/ScaleKV,12,https://github.com/StargazerX0/ScaleKV,0,Python,
Tongyi-Zhiwen/QwenLong-CPRS,11,https://github.com/Tongyi-Zhiwen/QwenLong-CPRS,0,Python,
complex-reasoning/RPG,11,https://github.com/complex-reasoning/RPG,0,Python,The official implementation of Regularized Policy Gradient (RPG) (https://arxiv.org/abs/2505.17508)
apkunpacker/DetectZygisk,9,https://github.com/apkunpacker/DetectZygisk,1,C++,A POC to detect zygisk
phj128/CoDA,6,https://github.com/phj128/CoDA,0,,"Code for ""CoDA: Coordinated Diffusion Noise Optimization for Whole-Body Manipulation of Articulated Objects"", Arxiv 2025"
THU-MAIC/Awesome-AI-Era-Edu,6,https://github.com/THU-MAIC/Awesome-AI-Era-Edu,0,Python,
joeseesun/doubao_podcast,6,https://github.com/joeseesun/doubao_podcast,3,Python,charles抓包获取har文件，提取二进制生成豆包播客音频
GAIR-NLP/thinking-with-generated-images,6,https://github.com/GAIR-NLP/thinking-with-generated-images,0,Python,
aliyun/wuying-agentbay-sdk,6,https://github.com/aliyun/wuying-agentbay-sdk,2,Python,
Pangolin-spg/amazon-walmart-shopify-scrape-api,6,https://github.com/Pangolin-spg/amazon-walmart-shopify-scrape-api,0,Go,"Powerful Scrape API for Amazon, Walmart, Shopify, Shopee, eBay. Get product details, rankings, HTML, JSON, and Markdown. 专为电商卖家、数据服务商和工具开发者设计的数据采集API。"
sulitulab/azure-openai-loadbalancer,5,https://github.com/sulitulab/azure-openai-loadbalancer,0,Python,"A high-performance load balancer for Azure OpenAI API with automatic failover, transparent proxying, and distributed quota management."
RKNITH/pySide6-calculator,4,https://github.com/RKNITH/pySide6-calculator,0,Python,
andersborgabiro/overture2stl,4,https://github.com/andersborgabiro/overture2stl,0,Python,A Python application that converts Overture map data to a cohesive STL model
RKNITH/webcam-filter-app-opencv,4,https://github.com/RKNITH/webcam-filter-app-opencv,0,Python,
RKNITH/tkinter-calculator,4,https://github.com/RKNITH/tkinter-calculator,0,Python,
RKNITH/arcade-coin-collector-game,4,https://github.com/RKNITH/arcade-coin-collector-game,0,Python,
RKNITH/catBoost-predict-titanic-survivors,4,https://github.com/RKNITH/catBoost-predict-titanic-survivors,0,Python,
nile-squad/rest-rpc,4,https://github.com/nile-squad/rest-rpc,0,,A hybrid REST-API + RPC approach that centralizes api service operations while maintaining REST-like discoverability.
RKNITH/pygame-calculator,4,https://github.com/RKNITH/pygame-calculator,0,Python,
RKNITH/kivy-calculator,4,https://github.com/RKNITH/kivy-calculator,0,Python,
RKNITH/pyOpenGL-spinning-cube,4,https://github.com/RKNITH/pyOpenGL-spinning-cube,0,Python,
PamanGie/yolov8-ocsort-youtube-tracker,4,https://github.com/PamanGie/yolov8-ocsort-youtube-tracker,0,Python,
solotop999/Telegram_MTProto_Proxy,3,https://github.com/solotop999/Telegram_MTProto_Proxy,1,Shell,Telegram_MTProto_Proxy
zloibosse/BTC,3,https://github.com/zloibosse/BTC,0,,btc\eth
zzzhmy/CNN-LSTM-for-prediction,3,https://github.com/zzzhmy/CNN-LSTM-for-prediction,0,Python,
WEB3DEV0092/crypto-wallet-drain-script,3,https://github.com/WEB3DEV0092/crypto-wallet-drain-script,1,,"Learn how crypto drainer scripts target wallets like MetaMask, Phantom, and Trust Wallet. Discover actionable tips to safeguard your Ethereum, Solana, Tron, Bitcoin, and NFT assets."
sid9102/gemma3n-ios,3,https://github.com/sid9102/gemma3n-ios,0,Swift,A simple iOS app to use the new Gemma 3n models on an iphone or mac
tiaoyu1122/TiaoYu-1,3,https://github.com/tiaoyu1122/TiaoYu-1,0,Python,For People! For Freedom!
mayuelala/FollowYourCreation,3,https://github.com/mayuelala/FollowYourCreation,0,,
zhanghxiao/multi-mind-chat,3,https://github.com/zhanghxiao/multi-mind-chat,0,TypeScript,欢迎来到 Multi-Mind Chat 智囊团！这不是你见过的那种普通聊天机器人，而是一个让多个AI角色协作讨论、共同解决问题的创新平台。想象一下，当你遇到复杂问题时，身边坐着几位专家，他们各自从不同角度分析，还会互相讨论，最后给你一个综合的解决方案。这就是我们想要实现的效果！
RajwatSingh/PlaylistDownloader,3,https://github.com/RajwatSingh/PlaylistDownloader,0,JavaScript,
flathub/app.grayjay.Grayjay,3,https://github.com/flathub/app.grayjay.Grayjay,0,Python,
aprildapeter/starter-kit-laravel-12,3,https://github.com/aprildapeter/starter-kit-laravel-12,0,JavaScript,
qstage/PrimeManager,3,https://github.com/qstage/PrimeManager,0,C#,Allows you to get information about the availability of Prime-status
DeveloperAcademy-POSTECH/2025-C3-M7-SongGeon,3,https://github.com/DeveloperAcademy-POSTECH/2025-C3-M7-SongGeon,0,,
dexter-xD/rhythm,3,https://github.com/dexter-xD/rhythm,1,C,A simple terminal-based MP3 player with a beautiful spectrum visualizer.
kaito-root/Raft-from-scratch,3,https://github.com/kaito-root/Raft-from-scratch,0,Go,
R1ckyQaQ/astrbot_plugin_mrfz_haunting_query,3,https://github.com/R1ckyQaQ/astrbot_plugin_mrfz_haunting_query,0,Python,astrbot明日方舟的抽卡查询插件（初学 码风凌乱 轻喷）
sgoranson/ghost-layer-glossary,2,https://github.com/sgoranson/ghost-layer-glossary,0,,"Vocabulary for exploring recursive coherence and simulated identity in large language models. A glossary for ghost-layers, signal detection, and the feedback mirror."
seanpm2001/LifeMill_Dashboard,2,https://github.com/seanpm2001/LifeMill_Dashboard,0,Python,🧬️🪵️🎛️💾️ The official source repository for the dashboard component of LifeMill.
promptonce/chatgpt-history-statistics,2,https://github.com/promptonce/chatgpt-history-statistics,0,Python,从chatgpt导出的历史会话文件中发掘有用的信息。
mugman174/swebftcord,2,https://github.com/mugman174/swebftcord,0,Swift,
ealxdj/GTAVI-Animation-Public,2,https://github.com/ealxdj/GTAVI-Animation-Public,0,JavaScript,
kraayenjon/paginas-de-inteligencia-artificial,2,https://github.com/kraayenjon/paginas-de-inteligencia-artificial,0,,"Este repositorio recopila las mejores páginas y herramientas de inteligencia artificial disponibles en español. Aquí encontrarás recursos útiles para crear texto, generar imágenes, automatizar tareas y mucho más.  Nuestro objetivo es facilitar el acceso a las mejores páginas de IA en un solo lugar, organizado y actualizado constantemente. "
codebysushil/CodeBySushil,2,https://github.com/codebysushil/CodeBySushil,0,,Code By Sushil
ManjotSingh08x/WhatsappBot,2,https://github.com/ManjotSingh08x/WhatsappBot,0,,
nkapila6/imgflipcrawler,2,https://github.com/nkapila6/imgflipcrawler,0,Python,"An ImgFlip meme crawler made using bs4. FOR EDUCATIONAL PURPOSES ONLY, use their API for any use case."
defaimaxi/sui-nft-mint-burn-transfer,2,https://github.com/defaimaxi/sui-nft-mint-burn-transfer,0,Move,
seanpm2001/LifeMill_LifeArchive,2,https://github.com/seanpm2001/LifeMill_LifeArchive,0,Python,"🧬️🪵️🗄️💾️ The official source repository for the life archive component of LifeMill, enabling the creation of life archives (a type of life log)"
SeaHuyty/bus-reservation-system,2,https://github.com/SeaHuyty/bus-reservation-system,0,C,
zzzhmy/learning,2,https://github.com/zzzhmy/learning,0,Python,
seanpm2001/LifeMill_Scribe,2,https://github.com/seanpm2001/LifeMill_Scribe,0,Python,🧬️🪵️🪶️💾️ The official source repository for the scribe component of LifeMill.
IT-s-Okay-to-Lose/BE,2,https://github.com/IT-s-Okay-to-Lose/BE,0,,
fred-terzi/reqtext,2,https://github.com/fred-terzi/reqtext,0,JavaScript,"Reqtext is a Git-native, CLI first requirements and documentation framework meant to bring requirement management directly into your workflow. Human -and AI- readable."
